S100001	二十五号显示是扣款失败的，银行卡余额不足。
S100002	您打算就是让他给您寄顺丰，是吧？
S100003	刚刚收到的吗？还是中午收到的？
S100004	可能发货那边没有注意吧。
S100005	提示没有检测到设备，对吗？
S100006	完了就上传，拍照片上传到这个后台就行。
S100007	那我这边帮您提交一下好吧。
S100008	您是什么时候寄回去的呢？
S100009	您好，打扰您了，是赖先生吗？
S100010	您这个就是长时间未反馈是吗？
S100011	你办理鲁通卡或者浙通卡都可以，根据你刚才说的。
S100012	换货的那个快递单号是多少？
S100013	还有五十万左右的投资。
S100014	后台有自动监测风险，如果监测到风险会直接冻结的。
S100015	直接打字还款，微信客服就会告诉您怎么操作。
S100016	绑不了信用卡的得绑定五大行的卡。
S100017	就是说不让下发这种卡啦。
S100018	我这边让后台帮您查，我这边看不到。
S100019	当时给你邮寄过来的时候你这边拒收。
S100020	他那边在收到货以后呢，会核实那个质量问题。
S100021	您登记过我这边也看不到的先生。
S100022	您加我微信吧，您加上我微信。
S100023	这个属于质量问题，他会补贴您的邮寄费用。
S100024	因为您这个是属于十二月份的订单了。
S100025	对，那应该是没有库存了。
S100026	您现在说的是序列号吗先生？
S100027	咱们系统正在进行升级优化。
S100028	等一下儿吧，两天应该就给您送到了。
S100029	您听语音的时候您可以问他一下。
S100030	每个月十三号的还款日。
S100031	您就是把这个手机号改成您会员卡的那个手机号。
S100032	具体是在哪个仓库给您发出，得看您购买的商品。
S100033	到时候是银行代扣的，可以先通行后付费的。
S100034	您现在是开不了机，还是什么故障呀？
S100035	借款金额是一万二分为十二期，其中已还的是五期。
S100036	这个不麻烦直接打字聊天就能帮您处理。
S100037	对，叫茶千岁，这个投资预算在十万左右。
S100038	咱们看一下序列号是多少呢？
S100039	哎好的，那黄老师还有其他可以帮您的吗？
S100040	您打电话问一下他们好吗？
S100041	嗯就是那就是说按那个就是内置电脑的话屏幕就是
S100042	还款总不会出现其他问题吧，因为这个也是官方的。
S100043	这个我们这边查不了的。
S100044	我们给您发的驱动是六十四位的，对吗？
S100045	但是他已经接受了，就应该把钱退给您。
S100046	那您退的那两件，退款到账了没有？
S100047	提供一下咱们这边的注册手机号我帮您查询。
S100048	加您微信，就是给您发一份简单的资料。
S100049	我这儿就备注一下这个车上高速多吗？
S100050	咱主要是想办理哪里卡？
S100051	双月结它是两个账单结清，它这是不一样的。
S100052	您看一下您这边期间是否有漏接。
S100053	你告诉他们，让他们留人，注意接听电话，好吧？
S100054	我现在打这电话是您微信号吗？
S100055	那您请稍等一下吧，肯定会给您回复的。
S100056	老师，我这边帮您重复下信息，您听一下好吧？
